Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model,fan_speed_mean
64.1,14150,14150,14084,14084,18,JPE22230130,Intel Corp,SPTSHP2PMCDF,14117.0
64.1,17500,17500,17500,17500,1,SGD22074868,Finisar,FCBN425QF1C02-OR,17500.0
64.1,14851,15151,14778,15789,38,JPA22473511,Intel Corp,SPTSHP2PMCDF,15142.25
64.1,16042,15957,16216,16042,37,JPE21032860,Intel Corp,SPTSHP2PMCDF,16064.25
64.1,14563,14354,14285,14354,5,JPA22364100,Intel Corp,SPTSHP2PMCDF,14389.0
64.1,14563,14354,14285,14354,5,JPA22364100,Intel Corp,SPTSHP2PMCDF,14389.0
64.1,13333,13953,13761,13574,11,JPA22473538,Intel Corp,SPTSHP2PMCDF,13655.25
64.1,13333,13392,13333,12987,40,JPE21045768,Intel Corp,SPTSHP2PMCDF,13261.25
64.1,12145,12096,12096,12145,24,JPE21392305,Finisar,FCBN425QF1C02-OR,12120.5
64.1,15228,15075,15151,16129,3,JPA22231684,Intel Corp,SPTSHP2PMCDF,15395.75
64.1,15789,16042,16393,16129,6,JPA22231460,Intel Corp,SPTSHP2PMCDF,16088.25
64.1,12765,12765,12820,12765,4,SGD21302386,AOI,AQPLBCQ4EDMA1072,12778.75
64.1,13761,13636,13636,13698,1,JPE22031016,Finisar,FCBN425QF1C02-OR,13682.75
64.1,16304,16393,16393,16129,6,JPE22201588,Intel Corp,SPTSHP2PMCDF,16304.75
64.1,15228,15228,15151,15151,1,SGD22056998,AOI,AQPLBCQ4EDMA1072,15189.5
64.1,15228,15228,15151,15151,1,SGD22056998,Accelight,AQP100C-C-LRL,15189.5
64.1,15384,15463,15384,15151,12,JPE22230215,Intel Corp,SPTSHP2PMCDF,15345.5
64.1,12931,12820,12875,12875,6,JPE21311985,Finisar,FCBN425QF1C10-OR,12875.25
64.1,13333,13953,13761,13574,11,JPA22473538,Intel Corp,SPTSHP2PMCDF,13655.25
64.1,12195,12345,12345,12295,23,JPE21392440,Finisar,FCBN425QF1C02-OR,12295.0
64.1,15075,15228,14925,14925,6,JPA22231694,Intel Corp,SPTSHP2PMCDF,15038.25
64.1,14634,14705,15151,14851,9,JPE22230474,Intel Corp,SPTSHP2PMCDF,14835.25
64.1,17500,17500,17500,17441,24,JPE21311917,Finisar,FCBN425QF1C20-OR,17485.25
64.1,12000,12048,12000,12000,1,SGD21016753,AOI,AQPLBCQ4EDMA1072,12012.0
64.1,14018,13953,14018,13953,30,JPE21322556,Finisar,FCBN425QF1C10-OR,13985.5
