Interface_Temp,Fan_FanTray1Fan1Sensor1,Fan_FanTray2Fan1Sensor1,Fan_FanTray3Fan1Sensor1,Fan_FanTray4Fan1Sensor1,rack_unit,Device_local_sn,SFP_manufacturer,SFP_model
64.1,8241,8241,8264,8287,28,JPE20092756,FINISAR CORP,FCBN425QF1C02-OR
64.1,8771,8797,8771,8720,3,SGD21086017,AOI,AQPLBCQ4EDMA1072
64.1,7957,7957,8000,7915,6,SGD21017238,FINISAR CORP,FCBN425QF1C10-OR
64.1,7352,7407,7389,7334,25,SGD22023271,FINISAR CORP,FCBN425QF1C07-OR
64.1,8645,8720,8670,8771,4,JPE21271113,AOI,AQPLBCQ4EDMA1072
64.1,7025,6944,6976,7009,3,SGD20390974,AOI,AQPLBCQ4EDMA1072
64.1,8670,8670,8670,8645,26,SGD20453033,FINISAR CORP,FCBN425QF1C15-OR
64.1,6637,6651,6622,6651,7,JPE20481784,FINISAR CORP,FCBN425QF1C02-OR
64.1,8108,8086,8086,8130,12,SGD22023589,FINISAR CORP,FCBN425QF1C02-OR
64.1,10000,10000,9966,9966,23,SGD21521591,FINISAR CORP,FCBN425QF1C10-OR
64.1,8746,8746,8797,8823,29,SGD22023673,FINISAR CORP,FCBN425QF1C10-OR
64.1,8746,8746,8797,8823,29,SGD22023673,FINISAR CORP,FCBN425QF1C02-OR
64.1,8670,8645,8670,8645,4,JPE20471165,AOI,AQPLBCQ4EDMA1072
64.1,6637,6651,6622,6651,7,JPE20481784,AOI,AQPLBCQ4EDMA1072
64.1,8571,8595,8547,8595,27,JPE22100064,FINISAR CORP,FCBN425QF1C10-OR
